SupplierId,HotelName,Address1,Address2,CityName,StateCode,CountryCode,ZipCode,Latitude,Longitude
89547,Hotel NH Latino,"Calle Suipacha, 309",,Buenos Aires,,AR,C1008AAG BUENOS AIRES,-34.604776,-58.3792756
93453,Hotel NH Urbano Córdoba,"Calle Marcelo T. de Alvear, 363",,Cordoba,,AR,X5000KGE CÓRDOBA,-31.419229,-64.189685
93456,Hotel NH Panorama Cordoba,"Calle Marcelo T. de Alvear, 251",,Cordoba,,AR,5000 CÓRDOBA,-31.41731,-64.190041
89551,Hotel NH Lancaster,"Avenida Cordoba, 405",,Buenos Aires,,AR,C1054AAD BUENOS AIRES,-34.598402,-58.372969
87587,Hotel AC Ciudad de Sevilla,"Avenida Manuel Siurot, 25",,Seville,,ES,41013 SEVILHA,37.3641942,-5.9830411
100094,Ac Hotel Guadalajara,"Avenida del Ejército, 6",,Guadalajara,,ES,19004 Guadalajara,40.63506,-3.17274
88405,NH Collection Madrid Paseo del Prado,"Plaza Cánovas del Castillo, 4",,Madrid,,ES,28014 MADRID,40.414882,-3.694609
543762,NH Montevideo Columbia,"Rambla Gran Bretaña, 473",,Montevideo,,UY,11000 MONTEVIDEO,-34.9097194,-56.2044024
357969,AC Hotel Bologna,"Via Sebastiano Serlio, 28",,Bologna,,IT,40128 BOLOGNA,44.508067,11.3536183
97460,Hotel AC Huelva,"Avenida Andalucia, s/n",,Huelva,,ES,21005 HUELVA,37.2786018,-6.9304163
5767,Hotel AC Palacio del Carmen,"Calle Oblatas, S/n",,Santiago de Compostela,,ES,15703 SANTIAGO DE COMPOSTELA,42.8807323,-8.553633
575574,Hotel AC Torino,"Via Bisalta, 11",,Turin/Torino,,IT,10126 TURIM,45.0360082,7.6673889
1004057,Hotel AC Brescia,Via Giulio Quinto Stefana 3,,Brescia,,IT,25126 Brescia,45.537192,10.202943
953050,AC Hotel Padova,"Via Prima Strada, 1",,Padua,,IT,35129 PADOVA,45.4135209,11.9162524
833621,Ac Alicante Hotel,"Avenida Elche, 3",,Alicante,,ES,03008 ALICANTE,38.338476,-0.494758
524296,Renaissance Barcelona Hotel,"Calle Pau Claris, 122",,Barcelona,,ES,08009 BARCELONA,41.392614,2.167504
898223,Hotel AC Malaga Palacio,"Cortina del Muelle, 1",,Malaga,,ES,29015 MÁLAGA,36.719047,-4.419656
100187,Hotel AC Elda,"Av. Chapí, Esqui. Juan de la Cierva",,Elda,,ES,03600 ELDA - ALICANTE,38.472965,-0.79429
575514,AC Hotel Som,Arquitectura 1-3,,LHospitalet de Llobregat/Hospitalet de Llobregat,,ES,08908 L HOSPITALET DE LLOBREGAT,41.362357,2.1350032
95239,AC Hotel Palau de Bellavista,"c/ Pujada Polvorins, 1",,Girona,,ES,17004 Girona,41.9789575,2.8293191
96522,AC Palacio de Santa Paula Autograph Collection,"Gran Via de Colon, 31",,Granada (Andalusia),,ES,18001 GRANADA,37.179421,-3.599655
1004047,Hotel AC Palacio de Santa Ana,"C/ Santa Ana, s/n",,Valladolid,,ES,47195 Arroyo de la Encomienda,41.625372,-4.761639
853704,Hôtel la Bourdonnais,111-113 av. de la Bourdonnais,,Paris,,FR,75007 PARIS,48.8549515,2.3047062
627047,Marivaux Hotel,Boulevard Adolphe Maxilaan 98,,Brussels,,BE,1000 BRUXELAS,50.8539018,4.3558057
606650,Adonis Marseille Vieux Port,"26, Rue Breteuil",,Marseille,,FR,13006 MARSELHA,43.2898214,5.3758443
92652,Hotel Saint Nicolas,"Rue Marché aux Poulets, 32",,Brussels,,BE,1000 BRUXELAS,50.848847,4.3510221
804100,Hotel Le Chaplain Paris Rive Gauche,"11 bis, Rue Jules Chaplain",,Paris,,FR,75006 PARIS,48.8427564,2.3305636
638039,Adonis Sacré Couer,"101, Rue Caulaincourt",,Paris,,FR,75018 PARIS,48.8897895,2.3387442
542384,Best Western Premier Le Carré Folies Opéra,"13, Rue Geoffroy Marie",,Paris,,FR,75009 PARIS,48.8738139,2.3443997
631353,Hotel Duc De Saint Simon,14 Rue De Saint Simon,,Paris,,FR,75007 PARIS,48.8560518,2.3235662
88632,Hotel Cambon,"3, Rue Cambom",,Paris,,FR,75001 PARIS,48.866356,2.325282
585422,Monterosa Astotel,"30, Rue la Bruyère",,Paris,,FR,75009 PARIS,48.8794802,2.3341876
831779,Hotel Barceló Bibao,"Paseo Campo Volantín, 11",,Bilbao,,ES,48007 BILBAO,43.2651321,-2.925103
623345,Occidental Isla Cristina,"Calle Doctor Delgado Carrasco, S/n",,Isla Cristina,,ES,21409 ISLA CRISTINA,37.1960698,-7.3213054
310602,Barceló Sevilla Hotel,"Avenida de Álvaro Alonso Barba, s/n - Isla de la Cartuja",,Seville,,ES,41092 SEVILHA,37.4096557,-5.995797
652199,Eresin Topkapi Hotel,"Turgut Özal Caddesi, Millet Cad, 186",,Istanbul,,TR,34104 ISTAMBUL,41.01925,28.926186
570112,Renaissance Hamburg Hotel,Grosse Bleichen,,Hamburg,,DE,20354 HAMBURGO,53.552535,9.987835
652986,Barceló Valencia Hotel,"Avenida de Francia, 11 (esq. Padre Tomás Montañana)",,Valencia,,ES,46023 VALENCIA,39.4590909,-0.3460031
125476,Barcelo Isla Canela,"Paseo de Los Gavilanes, s/n",,Isla Canela,,ES,21470 ISLA CANELA,37.173705,-7.375001
831778,Hotel Barceló Oviedo,"Calle Cervantes, 13",,Oviedo,,ES,33004 OVIEDO,43.362641,-5.8558935
11638,Barceló Punta Umbría Mar,"Avenida del Oceano, s/n",,Punta Umbria,,ES,21100 PUNTA UMBRIA,37.185664,-6.98106
30833,Hotel Barceló Cáceres V Centenario,"C/ Manuel Pacheco, 4 - Urbanizacion Castellanos",,Caceres,,ES,10005 CACERES,39.4738338,-6.3984565
622857,Ocidental Castellana Norte Hotel,"Avenida de Manoteras, 20",,Madrid,,ES,28050 MADRID,40.488585,-3.669471
298665,Renaissance Boston Waterfront Hotel,606 Congress Street,,Boston,,US,2210,42.348094,-71.039241
576498,Renaissance Aruba Resort & Casino,"L. G. Smith Boulevard 82, Oranjestad",,Oranjestad,,AW,0000-000 ORANJESTAD,12.515716,-70.034599
576500,Renaissance Aruba Resort & Casino,"L. G. Smith Boulevard 82, Oranjestad",,Oranjestad,,AW,0000-000 ORANJESTAD,12.515278,-70.03673
537289,Renaissance Amsterdam Hotel,"Kattengat, 1",,Amsterdam,,NL,1012 SZ AMESTERDÃO,52.377968,4.894644
92669,Renaissance Brussels Hotel,Rue du Parnasse 19,,Brussels,,BE,1050 BRUXELAS,50.838242,4.371601
610222,Renaissance Baltimore Harborplace Hotel, 202 East Pratt Street,,Baltimore,,US,21202,39.286976,-76.611121
446343,Renaissance Las Vegas Hotel,3400 Paradise Road,,Las Vegas,,US,89269,36.127365,-115.154037
521317,Renaissance Los Angeles Airport Hotel,9620 Airport Boulevard,,Los Angeles,,US,90045,33.949057,-118.385634
89652,Renaissance London Heathrow Hotel,Bath Road,,London - Heathrow Airport,,GB,TW6 2AQ HOUNSLOW,51.480356,-0.445603
98237,Renaissance New Orleans Pere Marquette French Quarter Area H,817 Common St,,"New Orleans, Louisiana",,US,70112 Louisiana,29.953036,-90.071395
357781,Renaissance Naples Hotel Mediterraneo,"Via Ponte di Tappia, 25",,Naples,,IT,80133 NAPLES,40.8407231,14.250544
90040,Renaissance Paris La Defense,"60, Jardin de Valmy",,Paris - La Defense,,FR,92918 PARIS,48.892656,2.233138
88959,Renaissance Paris Le Parc Trocadero Hotel,"55-57,  Avenue Raymond Poincare",,Paris,,FR,75116 PARIS,48.8672367,2.2857381
90037,Renaissance Vendôme Hotel,4 Rue Du Mont Thabor,,Paris,,FR,75001 PARIS,48.865473,2.3296067
624849,Renaissance Paris Arc De Triomphe,"39, Avenue De Wagram",,Paris,,FR,75017 PARIS,48.877145,2.297087
4063,Hotel Renaissance Wien,"Linke Wienzeile-Ullmannstrasse, 71",,Vienna,,AT,1150 WIEN,48.184303,16.33023
93466,The Mayflower Hotel Autograph Collection (Ex-Renaissance),1127 Connecticut Avenue NW,,Washington,,US,20036,38.904494,-77.039808
898838,Kyriad Bordeaux - Lormont,"1, Avenue De Paris",,Lormont,,FR,33310,44.867003,-0.51423
832741,Hotel Esterel,"15, Rue du 24 Aout",,Cannes,,FR,06400 CANNES,43.5536436,7.0194539
597641,Courtyard by Marriott Hotel Prague Airport,"Aviaticka, 1092/8",,Prague,,CZ,16100 PRAGA,50.1065611,14.2696547
376985,Best Western Yacht Harbor Hotel,5005 North Harbor Drive,,San Diego (California),,US,92106-2307 SAN DIEGO,32.725965,-117.22548
3482,Best Western Plus Dragon Gate Inn,818 North Hill Street,,"Los Angeles, California",,US,90012 LOS ANGELES,34.0631792,-118.238908
16600,Hotel Regent Contades,"Av. de la Liberté, 8",,Strasbourg,,FR,67000 STRASBOURG,48.58573,7.758374
553074,Courtyard Boston Copley Square,88 Exeter Street,,Boston,,US,2116,42.348582,-71.078898
553295,Courtyard Miami at Dolphin Mall,11275 Northwest 12th Street,,Miami,,US,33172,25.784845,-80.377847
856578,Hotel Principe Di Savoia,"Piazza Della Repubblica,17",,Milan,,IT,20124 MILAN,45.4799243,9.1964257
438272,San Diego Hotel Circle Near SeaWorld,543 Hotel Circle South,,San Diego (California),,US,92108 San Diego,32.7600039,-117.1672063
902302,Grange Beauchamp Hotel,24-27 Bedford Place,,London,,GB,WC1B 5JH Londres,51.5204462,-0.1247291
96158,Hotel Dunas Mirador Maspalomas,Einstein S/N,,Gran Canaria Island - Maspalomas,,ES,35100,27.7643535,-15.6016108
544953,Mardi Gras Hotel And Casino,3500 Paradise Road,,"Las Vegas, Nevada",,US,89109 LAS VEGAS,36.1254784,-115.1538035
3365,The Waldorf Hilton,Aldwych,,London,,GB,WC2B 4DD LONDRES,51.51325,-0.1176389
90056,Best Western Premier Le Swann Hotel,"15, Rue de Constantinople",,Paris,,FR,75008 PARIS,48.879857,2.320753
899633,Best Western Bowery Hanbee Hotel,231 Grand Street,,"New York, New York",,US,10013 NOVA IORQUE,40.7184293,-73.9951831
95379,Hotel Windsor,"R. das Hortas, 4 C",,Madeira Island - Funchal,,PT,9050-024 FUNCHAL,32.650444,-16.90594
550063,Tempo Rent Apart Hotel,"Santa Magdalena 116, Providencia",,Santiago,,CL,7510057 Santiago,-33.4026047,-70.5836246
92581,Hotel des Colonies,6-10 Rue des Croisades,,Brussels,,BE,1210 BRUXELAS,50.8564982,4.3580466
870931,Campanile Paris 11 - Bastille - Le Marais,"9, Rue du Chemin Vert",,Paris,,FR,75011 PARIS,48.857611,2.369917
40594,Hotel Imperial,Rua Dr. Nascimento Leitão,,Aveiro,,PT,3800-108 AVEIRO,40.639956,-8.652466
